DECISION ID,QUESTION,CURRENT STATUS,RECOMMENDATION,OWNER DECISION,AFFECTED SYSTEMS,C10 REQUIRED BEFORE,PRODUCT LOCK
D-0124,Should task photos/media appear directly on the primary Prilike CARD?,OWNER_LOCKED,No. Primary vertical CARD remains text/fact-first with no task-photo thumbnail or media preview. Actual signed photos/media are shown in full-screen DETAIL; CARD may use only a subtle non-image media count/icon if useful.,LOCKED 2026-08-25 C12.21; DETAIL remains media owner,"Need projections, Marketplace, Cards, Detail, Media, Privacy, Performance",RELEVANT WAVE CUTOVER,YES
D-0125,Should the primary Prilike CARD show Zašto Vam odgovara / match-reason chips or lines?,OWNER_LOCKED,"No. Primary browse CARD stays task-fact-only: no recommendation-reason sentence/chip, capability-fit label, raw matcher score or percentage. Najbolje za mene remains server-owned ordering. Evidence-backed explanation may remain in deliberate DETAIL/Worker Home contexts when current and useful.",LOCKED 2026-08-25 C12.22; primary CARD is zero-reason while D-0048 explainability can remain outside that consumer,"Marketplace CARD, matching explainability, Worker Home, Detail",RELEVANT WAVE CUTOVER,NO — build gate remains closed
D-0126,Should the primary Prilike CARD show Requester identity/reputation?,OWNER_LOCKED,"Yes. Show a small but visible trust strip with authorized public avatar, public display name and server-owned rating state; authoritative review count may accompany rating compactly. Keep job facts primary; never expose contact/private data or fabricate rating.",LOCKED 2026-08-25 C12.23; D-0120 still keeps identity off individual map pins,"Marketplace CARD, Requester public profile, reputation, media, privacy",RELEVANT WAVE CUTOVER,NO — build gate remains closed
D-0127,How should taps on the Requester trust strip vs the rest of the primary Prilike CARD behave?,OWNER_LOCKED,Trust strip (public avatar/name/rating) is one distinct accessible profile affordance that opens the Requester public profile. Any other CARD tap opens Need DETAIL. Hit target must be touch-accessible without stealing normal CARD taps; Back from either destination restores exact prior Prilike context. No mutation/private contact exposure.,LOCKED 2026-08-25 C12.24; profile unavailable/error fails safely without falling through to another action,"Marketplace CARD, Requester public profile, Need Detail, navigation/resume, accessibility, privacy",RELEVANT WAVE CUTOVER,NO — build gate remains closed
D-0128,Should the Requester public profile show the actual individual reviews beneath the rating summary?,OWNER_LOCKED,"Yes. Show eligible individual reviews under authoritative average/count with actual submitted 1–5 stars and the real reviewer-authored comment when present. Never invent, AI-generate or seed review prose; no-comment reviews remain star-only. Feed and aggregate share the same completed-Dogovor eligibility/moderation set.",LOCKED 2026-08-25 C12.25; exact reviewer identity/date presentation remains separate,"Requester public profile, reviews, reputation, moderation, privacy",RELEVANT WAVE CUTOVER,NO — build gate remains closed
D-0129,Should each individual public review show the identity of the person who actually left it?,OWNER_LOCKED,"Yes. Each eligible review entry shows the canonical reviewer's authorized public avatar/photo and public display name, together with the actual submitted stars and human-authored comment when present. Reviewer identity comes only from the authorized public-profile projection; no phone/email/exact address/private verification data or synthetic reviewer identity is exposed. Exact reviewer-profile tap navigation and date treatment remain separate.",LOCKED 2026-08-25 C12.26; extends D-0128 review-evidence surface without changing review eligibility/aggregate truth,"Requester public profile, reviews, reputation, reviewer public profile, privacy",RELEVANT WAVE CUTOVER,NO — build gate remains closed
D-0130,Should tapping the reviewer avatar/name inside a public review open that reviewer's public profile?,OWNER_LOCKED,Yes. Only the reviewer's authorized public avatar/name is a distinct accessible hit target opening that exact reviewer's public profile. Stars/comment remain non-navigation content. Back restores exact prior profile and review-scroll position; unavailable/unauthorized reviewer profile fails explicitly without redirecting.,LOCKED 2026-08-25 C12.27; exact review date presentation remains separate,"Reviews, reputation, public profiles, navigation/resume, accessibility, privacy",RELEVANT WAVE CUTOVER,NO — build gate remains closed
D-0131,How should each public review show when it was left?,OWNER_LOCKED,Show a truthful relative-age label from the canonical review timestamp using natural coarse units such as pre 1 dan / pre 1 nedelju / pre 1 mesec / pre 1 godinu and corresponding plural counts. Public review cards do not show hour/minute precision. The label is presentation only and never rewrites the immutable review timestamp.,LOCKED 2026-08-25 C12.28; exact localization/pluralization thresholds are implementation/i18n details as long as displayed age remains truthful,RELEVANT WAVE CUTOVER,,
D-0132,Should the Requester public profile show a completed-Dogovor count?,OWNER_LOCKED,"Yes. Show a compact server-proven count such as `12 završenih dogovora`, counting distinct canonical completed Dogovori where the profiled account acted as Requester. Do not infer from posted Potrebe, Applications, selection-only state, cancellations/no-shows or review count. Keep it independent of star math, role-scoped, aggregate-only and privacy-safe.",LOCKED 2026-08-25 C12.29; Worker completion count remains a separate role-specific metric,"Requester public profile, Agreement completion, reputation/trust projection, privacy",RELEVANT WAVE CUTOVER,NO — build gate remains closed
D-0133,Should the Requester public profile show a `Verifikovan identitet` badge?,OWNER_LOCKED,"Yes, but only when a precise server-authoritative identity-verification owner/state says the profiled account is currently and validly verified. Missing, expired, revoked, unsupported, failed or uncertain verification shows no badge. Never infer verification from auth/profile/rating/history; never expose underlying documents/evidence; badge means identity verification only, not endorsement, skill, reliability or safety guarantee.",LOCKED 2026-08-25 C12.30; product-resolves D-0039 anti-inference rule for this consumer while implementation/runtime proof remains gated,"Requester public profile, identity verification, trust, privacy",RELEVANT WAVE CUTOVER,NO — build gate remains closed
D-0134,What happens when a user taps the Requester public-profile `Verifikovan identitet` badge?,OWNER_LOCKED,"Open a small privacy-safe explanatory sheet such as `Identitet je potvrđen`. Briefly explain that the account passed the current identity-verification process and explicitly that this is not a USKOČI endorsement, skill credential, reliability score, safety guarantee or quality promise. Never reveal verification documents/evidence/provider payloads or route to private verification data; the sheet is informational/non-mutating and stale verification fails closed.",LOCKED 2026-08-25 C12.31; exact sheet visuals/microcopy remain implementation/accessibility/i18n tuning,"Requester public profile, identity verification, trust explanation, privacy",RELEVANT WAVE CUTOVER,NO — build gate remains closed
D-0135,Should the compact Requester trust strip on the primary `Prilike` CARD show verified-identity state?,OWNER_LOCKED,"Yes, but only as one tiny verified check/icon next to the Requester public display name when the same server-authoritative identity-verification truth used by D-0133 is currently valid. Do not show the full `Verifikovan identitet` text on CARD. The check is not a separate tap target; the whole trust strip keeps D-0127 behavior and opens the public profile. Missing/stale/revoked/uncertain verification shows no icon, and the mark never implies endorsement, skill, reliability, safety or quality.",LOCKED 2026-08-25 C12.32; exact icon visuals/accessibility copy remain implementation tuning,"Prilike Opportunity CARD, Requester public trust strip, identity verification",RELEVANT WAVE CUTOVER,NO — build gate remains closed
D-0136,Should the Uskočer public profile show a completed-work count?,OWNER_LOCKED,"Yes. Show a compact server-proven count such as `27 završenih poslova`, counting distinct canonical completed Dogovori where the profiled account was the accountable Worker/lead. Do not infer from Applications, candidate selection, helper/team headcount, cancellations/no-shows, nonterminal work or review count. Team V0 credits the accountable lead only. Keep it independent of star math, role-scoped, aggregate-only and privacy-safe; Requester completed-Dogovor count remains separate under D-0132.",LOCKED 2026-08-25 C12.33; exact copy/pluralization and final metric-owner implementation remain gated,"Uskočer public profile, reputation/trust projection, Agreement completion metrics",RELEVANT WAVE CUTOVER,NO — build gate remains closed
D-0137,Is identity verification one account-level truth across Requester and Uskočer public profiles?,OWNER_LOCKED,"Yes. Identity verification belongs to the human account, not to a role. Requester and Uskočer public-profile projections consume the same current/valid server-authoritative verification state; do not create a second Worker-only or Requester-only verification truth. If authoritative verification expires/revokes, all role projections lose the badge/check after freshness revalidation. The same privacy-safe meaning/limits from D-0133/D-0134 apply and verification evidence remains private.",LOCKED 2026-08-25 C12.34; owner explicitly stated `identitet je identitet`; role-specific profile content remains separate while identity truth is shared,"Account identity verification, Requester public profile, Uskočer public profile, trust badges/checks",RELEVANT WAVE CUTOVER,NO — build gate remains closed
D-0138,Should owner review continue through micro product/UI/UX decisions before clean build?,OWNER_LOCKED,"Yes. Before clean build, continue a systematic screen-by-screen and flow-by-flow UI/UX closure pass, including micro decisions when they affect what the user sees, taps, understands, returns to, or experiences in loading/empty/error/offline/stale/accessibility states. Pure engineering internals that do not alter user/product semantics remain delegated to architecture/implementation and do not require owner questions.",LOCKED 2026-08-25 C12.35; supersedes only the C12.34 operating-mode clarification that over-delegated reversible UI details; D-0137 account-level identity truth remains unchanged,"Owner review process, screen contracts, UI/UX closure, implementation handoff",BEFORE CLEAN BUILD,NO — build gate remains closed
D-0139,How should the owner-generated UI boards supplied on 2026-08-25 be used?,OWNER_LOCKED,"Save them as official VISUAL DIRECTION EVIDENCE, not as literal final screen contracts. Preserve the premium warm-human direction: deep forest/teal trust surfaces, warm ivory canvas/cards, orange action accent, clear hierarchy, calm rounded cards, restrained shadows, consistent icons, human photography/illustration, generous spacing and mobile-first flow. Any tab, CTA, status, metric, badge, field, navigation, monetization wording or lifecycle behavior shown in a board that conflicts with newer OWNER_LOCKED product truth must be redesigned screen-by-screen; final product/data/action/privacy contracts always win.",LOCKED 2026-08-25 C12.35; ten unique boards persisted in VISUAL_REFERENCE_BOARD_C12_35; one duplicate upload deduplicated by identical SHA-256,"Visual language, Figma-ready UI, screen-by-screen closure, reference evidence",BEFORE CLEAN BUILD,NO — build gate remains closed
D-0140,May AI decide publish safety/legal eligibility from its own model memory?,OWNER_LOCKED,"No. Use a versioned server-owned USKOCI safety/legal policy bundle. AI may interpret user language and ask rule-bound clarifying questions, but the server safety gate is final authority. Missing/conflicting/stale/unreviewed rules fail closed to REVIEW rather than being improvised.",LOCKED 2026-08-25 C12.37.1; owner explicitly requires decisions to come from the project legal/safety files and not be made napamet,"AI intake, safety publish gate, moderation REVIEW, policy/versioning, legal product boundary, notifications/Prilike suppression",BEFORE CLEAN BUILD,NO — documentation/owner lock only; build gate remains closed
D-0141,When may Need media be physically deleted versus privately retained as evidence?,OWNER_LOCKED,"Requester may remove ordinary disposable Need media from the active/public projection and server cleanup may physically delete it when no Agreement/evidence/legal hold applies. Media that is part of an accepted Dogovor snapshot, report/problem/dispute, moderation/audit evidence or authorized legal hold is hidden/non-public but not immediately destroyed. Account closure follows the same disposable-vs-evidence distinction. Exact retention durations are not invented; they come from versioned privacy/legal retention policy, after which secure deletion occurs when no hold remains.",LOCKED 2026-08-25 C12.37.2; exact retention periods intentionally deferred to approved Serbian privacy/legal retention policy; destructive evidence cleanup remains gated until that policy exists,"Need media, Storage, privacy, Dogovor evidence, moderation, reports/disputes, account deletion, retention",BEFORE CLEAN BUILD,NO — documentation/owner lock only; build gate remains closed
D-0142,Should device near-me GPS become persistent Worker matching truth?,OWNER_LOCKED,"No. Use precise device/GPS location transiently for the current nearby browse/query only after permission. Do not silently persist or background-track it. Persistent matching/notification geography exists only after an explicit human action such as Save work area, producing an editable/removable work-area/radius preference. Revoking device-location permission stops future reads but does not silently erase a separately saved work-area preference. Remote opportunities do not require location.",LOCKED 2026-08-25 C12.37.3; owner explicitly approved transient near-me + explicit saved work-area semantics.,"Worker preferences, location permission, Prilike, matcher, notifications, privacy, remote work",BEFORE CLEAN BUILD,NO — documentation/owner lock only; build gate remains closed
D-0143,What is one notification inbox item and what does unread mean?,OWNER_LOCKED,One canonical event = one inbox item across push retries/devices/channels. Unread is event-level server truth. Opening the list alone does not mark all read; opening a specific item or successfully resolving its push marks that event read. Provide explicit idempotent Mark all as read. Every tap authenticates and rereads current entity truth; stale historical events never expose stale actionable CTAs.,"LOCKED 2026-08-25 C12.37.4; owner explicitly approved one-event/one-item, event-level read state, explicit mark-all, and stale-tap revalidation.","Notification inbox, push, Realtime, deep links, unread badge, multi-device state, privacy",BEFORE CLEAN BUILD,NO — documentation/owner lock only; build gate remains closed
D-0144,"Can location be shared during an active Dogovor, and who may activate it?",OWNER_LOCKED,"For active physical Dogovori, the Worker may voluntarily share a current-location snapshot and the Requester may request one, but the Worker must explicitly approve/share. V1 has no continuous/background tracking, route history or silent GPS activation. The snapshot is participant-only, timestamped/age-labelled, optional and never an execution prerequisite. Remote Dogovori do not expose the physical-location action.",LOCKED 2026-08-25 C12.37.5; owner explicitly approved Worker-initiated or Requester-requested current-location sharing with Worker consent and no live/background tracking in V1.,"Dogovor, execution UX, location permission, privacy grants, RLS, Realtime, notifications, physical/remote modes",BEFORE CLEAN BUILD,NO — documentation/owner lock only; build gate remains closed
D-0145,Should V1 have AI-selected or mode-specific execution progress milestones such as Krećem/Stigao sam/Preuzeo sam?,OWNER_LOCKED,"No. V1 has no dedicated execution-progress milestone state machine and AI does not generate/select such steps. Progress is communicated through Dogovor chat; D-0144 optional current-location snapshot remains separate. No Započni rad/arrival/milestone prerequisite may block Završio sam. Existing EN_ROUTE/ARRIVED/pickup-delivery state chains are current-system evidence, not target requirements. Future quick actions are post-V1 and any canonical gate requires a separate owner contract.",LOCKED 2026-08-25 C12.37.6; owner explicitly chose simplicity over a milestone system after reviewing the potential complexity.,"Dogovor, execution UX, chat, completion, location sharing, current-source transfer",BEFORE CLEAN BUILD,NO — documentation/owner lock only; build gate remains closed
D-0146,What background visual system is canonical for S01 and the entry visual direction?,OWNER_LOCKED,"Use the accepted forest/teal background direction with a lighter central focus, dark city silhouette in the lower zone and ivory location pins. Do not use connecting route lines. Do not reinterpret it as metallic/3D/neon/gold. Treat background as an independent replaceable layer, separate from logo/text/motion.",LOCKED 2026-08-26 during S01 screen-by-screen visual closure.,"S01 Splash, entry visual system, Clean Home visual continuity, background asset system",BEFORE CLEAN BUILD,NO — documentation/visual asset owner lock only; build gate remains closed
