"id","name","role","purpose","canon_status","current_status","entry_points","displayed_data","actions","primary_cta","secondary_actions","backend_objects","permissions","statuses","loading_state","empty_state","validation_state","error_state","offline_state","success_state","destructive_state","next_navigation","notification_implications","edge_cases","current_route","evidence"
"M01","Full-screen map","USKOČER","Spatial browse with approximate pins and synchronized filters.","PRODUCT CANON","PARTIAL / PR67 PENDING","W03 map mode","approximate pins | clusters | selected Need preview | search area","pan | re-search area | select pin | switch list","Pogledajte Zadatak","","need_geography | public opportunities","approximate public geography","LOADING | READY | NO_RESULTS | LOCATION_DENIED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","M02 | W04","","no coordinates | overlapping pins | network loss","","need_geography live; PR67"
"M02","Map pin compact sheet","USKOČER","Kratak, informativan preview pre punog detalja.","PRODUCT CANON","PARTIAL / PR67 PENDING","tap M01 pin","title | where/when | pay/offers | people | requester summary","open full detail | dismiss","Detalji Zadatka","","public opportunity projection","public-safe","OPEN | STALE","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","W04","","Need closes while sheet open","",""
"Q01","Search","USKOČER","Pretraga prilika uz recent i korisne predloge.","PRODUCT CANON","NOT IMPLEMENTED","W03","query | recent searches | result count","search | clear | select suggestion","Prikažite rezultate","","opportunity projection/search endpoint missing","authenticated","IDLE | SEARCHING | NO_RESULTS","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","W03 | W04","","","",""
"Q02","Filters","USKOČER","Filtrira bez skrivene promene semantike: kategorija, vreme, udaljenost, cena i capability.","PRODUCT CANON","NOT IMPLEMENTED","W03","active filters | result estimate","apply | reset","Prikažite rezultate","","worker_match_preferences | opportunity projection","authenticated","DEFAULT | DIRTY | APPLIED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","W03","","location denied | no matches","",""
"P01","Profile hub","BOTH","Jedan nalog sa jasnim role switch-em i ulazima u profile/settings.","PRODUCT CANON","PARTIAL","Profil tab | header avatar","identity | current intent | requester/worker summaries","switch role | edit personal profile | edit worker profile | settings | logout","Promenite ulogu","","app_accounts | app_profiles","owner","REQUESTER | WORKER | PROFILE_INCOMPLETE","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","R01 | W01 | W08 | S07","","role switch during request | preserve per-role tab history","/profil","profil.tsx"
"P02","Personal/requester profile edit","NARUČILAC","Uređuje prikazno ime, grad i avatar za javni requester profil.","PRODUCT CANON","PARTIAL","P01","display name | city | avatar | bio/headline target","edit | save","Sačuvajte profil","","app_profiles REQUESTER","owner","DRAFT | ACTIVE","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","P01","","avatar upload missing","/profil (limited)",""
"P03","Skills, tools, licenses, vehicles","USKOČER","Strukturisan capability editor sa jasnom razlikom self-declared/verifikovano.","PRODUCT CANON","PARTIAL","W08","skills | tools | licenses | vehicles | team capacity","add/remove | save","Sačuvajte","","app_profiles | response_application_snapshots","owner","SELF_DECLARED | VERIFIED target","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","W08","","capability changed after application snapshot","",""
"P04","Reputation & reviews","BOTH","Prikazuje ocene tek kada backend može dokazati prosek, broj i sadržaj.","PRODUCT CANON","NOT IMPLEMENTED","P01 | public profile | post-completion","rating | review count | completed count | review cards","leave review | report review","Ocenite saradnju","","review infrastructure missing; public projection exposes availability flags","completed participants","UNAVAILABLE | ELIGIBLE | SUBMITTED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","P01 | public profile","","mutual privacy | duplicate review | moderation","",""
"P05","Verification & trust","BOTH","Pokazuje šta je stvarno verifikovano i šta je samo izjavljeno.","PRODUCT CANON","NOT IMPLEMENTED","P01 | public profile","identity state | verified items | safety guidance","start verification target","Verifikujte identitet","","verification provider/storage missing","owner; public sees result only","NOT_AVAILABLE | PENDING | VERIFIED | FAILED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","P01","","never fabricate badge","",""
"H01","HITNO explanation / activation","NARUČILAC","Objašnjava ubrzanu distribuciju bez lažne naplate ili obećanja.","PRODUCT CANON","CONFIG-DISABLED","R02/R04 urgency choice","window | minimum choice floor | availability | price 0 RSD if policy says","activate when admitted","Aktivirajte HITNO","","needs.urgent | dispatch_schedule | marketplace_config | policy bundles","Need owner + active gate","DISABLED | AVAILABLE | ACTIVE | EXPIRED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","R04","high urgency opportunity delivery","gate closes | no eligible workers | window expiry","","urgency/dispatch migrations; no enabled product proof"
"C01","Calendar overview","BOTH","Jedan pregled Dogovor obaveza; worker additionally sees availability.","PRODUCT CANON","BACKEND PARTIAL / UI MISSING","Home | Dogovori | W09","Agreement schedule | availability windows/rules | conflicts","open Agreement | edit availability","Otvorite Dogovor","","agreements | profile_availability_*","owner/participant","DAY | WEEK | EMPTY | CONFLICT","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","D02 | W09","","multi-party same Need | timezone | overlap","",""
"MEDIA01","Need photo capture/gallery","NARUČILAC","Dodaje 0–3 slike tokom AI razgovora ili Need edit-a i prikazuje ih na kartici/detalju.","PRODUCT CANON","NOT IMPLEMENTED","R02 composer | R04 edit","thumbnails | upload progress | count","camera | library | remove | retry","Dodajte fotografije","","storage bucket/schema missing","camera/photos + owner","UPLOADING | READY | FAILED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","R02 | R04","","EXIF privacy | large files | offline upload","",""
"VOICE01","Voice Need input","NARUČILAC","Govorni unos kao još jedan input u isti AI razgovor.","PRODUCT CANON","NOT IMPLEMENTED","R02 composer","recording state | duration | transcript review","record | stop | discard | send transcript","Govori","","speech/transcription service missing | same AI conversation","microphone","IDLE | RECORDING | TRANSCRIBING | READY | FAILED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","R02","","permission denied | background interruption | accent/noise | do not upload without consent","",""
